Severity	Code	Description	Project	File	Line	Suppression State	Details
Error	C2487	'ManagerInstance': member of dll interface class may not be declared with dll interface	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryManager.h	61		
Error	C2720	'ABP_InventoryManager::ManagerInstance': '__declspec(dllimport)' storage-class specifier illegal on members	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryManager.cpp	4		
Error	C2491	'ABP_InventoryManager::ManagerInstance': definition of dllimport static data member not allowed	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryManager.cpp	4		
Error	C4273	'ABP_InventoryManager::ABP_InventoryManager': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryManager.cpp	6		
Error	C4273	'ABP_InventoryManager::BeginPlay': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryManager.cpp	14		
Error	C4273	'ABP_InventoryManager::Tick': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryManager.cpp	21		
Error	C4273	'ABP_InventoryManager::CreateItemFromID': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryManager.cpp	26		
Error	C4273	'ABP_InventoryManager::CreateItemFromDataTable': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryManager.cpp	44		
Error	C4273	'ABP_InventoryManager::CreateMultipleItems': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryManager.cpp	49		
Error	C4273	'ABP_InventoryManager::LoadItemDataTable': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryManager.cpp	65		
Error	C4273	'ABP_InventoryManager::GetAllItemIDs': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryManager.cpp	79		
Error	C4273	'ABP_InventoryManager::GetItemData': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryManager.cpp	95		
Error	C4273	'ABP_InventoryManager::GetInventoryManager': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryManager.cpp	106		
Error	C2079	'ActorItr' uses undefined class 'TActorIterator<ABP_InventoryManager>'	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryManager.cpp	117		
Error	C2440	'initializing': cannot convert from 'UWorld *' to 'int'	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryManager.cpp	117		
Error	C2100	illegal indirection	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryManager.cpp	119		
Error	C2440	'=': cannot convert from 'int' to 'ABP_InventoryManager *'	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryManager.cpp	119		
Error	C4273	'ABP_InventoryManager::CreateItemFromRowData': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryManager.cpp	132		
Error	C4273	'ABP_InventoryPlayerController::execCloseInventory': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryPlayerController.gen.cpp	43		
Error	C4273	'ABP_InventoryPlayerController::execFindPlayerInventoryComponent': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryPlayerController.gen.cpp	72		
Error	C4273	'ABP_InventoryPlayerController::execGetPlayerInventoryComponent': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryPlayerController.gen.cpp	123		
Error	C4273	'ABP_InventoryPlayerController::execIsInventoryOpen': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryPlayerController.gen.cpp	170		
Error	C4273	'ABP_InventoryPlayerController::execOpenInventory': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryPlayerController.gen.cpp	206		
Error	C4273	'ABP_InventoryPlayerController::execQuickUse': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryPlayerController.gen.cpp	236		
Error	C4273	'ABP_InventoryPlayerController::execToggleInventory': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryPlayerController.gen.cpp	272		
Error	C4273	'ABP_InventoryPlayerController::StaticRegisterNativesABP_InventoryPlayerController': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryPlayerController.gen.cpp	282		
Error	C4273	'ABP_InventoryPlayerController::GetPrivateStaticClass': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryPlayerController.gen.cpp	296		
Error	C4273	'Z_Construct_UClass_ABP_InventoryPlayerController_NoRegister': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryPlayerController.gen.cpp	297		
Error	C4273	'Z_Construct_UClass_ABP_InventoryPlayerController': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryPlayerController.gen.cpp	425		
Error	C4273	'ABP_InventoryPlayerController::ABP_InventoryPlayerController': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryPlayerController.gen.cpp	437		
Error	C4273	'ABP_InventoryPlayerController::~ABP_InventoryPlayerController': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryPlayerController.gen.cpp	438		
Error	C4273	'ABP_ExampleCharacter::execCreateTestItems': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_ExampleCharacter.gen.cpp	50		
Error	C4273	'ABP_ExampleCharacter::execGetInventoryComponent': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_ExampleCharacter.gen.cpp	101		
Error	C4273	'ABP_ExampleCharacter::execGetTotalStat': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_ExampleCharacter.gen.cpp	156		
Error	C4273	'ABP_ExampleCharacter::execGetWeightPercentage': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_ExampleCharacter.gen.cpp	199		
Error	C4273	'ABP_ExampleCharacter::execHeal': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_ExampleCharacter.gen.cpp	241		
Error	C4273	'ABP_ExampleCharacter::execIsOverweight': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_ExampleCharacter.gen.cpp	289		
Error	C4273	'ABP_ExampleCharacter::execOnEquipmentChanged': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_ExampleCharacter.gen.cpp	337		
Error	C4273	'ABP_ExampleCharacter::execOnInventoryChanged': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_ExampleCharacter.gen.cpp	390		
Error	C4273	'ABP_ExampleCharacter::execRestoreMana': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_ExampleCharacter.gen.cpp	434		
Error	C4273	'ABP_ExampleCharacter::execTakeDamage': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_ExampleCharacter.gen.cpp	483		
Error	C4273	'ABP_ExampleCharacter::execUpdateCurrentWeight': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_ExampleCharacter.gen.cpp	514		
Error	C4273	'ABP_ExampleCharacter::execUpdateStatsFromEquipment': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_ExampleCharacter.gen.cpp	543		
Error	C4273	'ABP_ExampleCharacter::execUseMana': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_ExampleCharacter.gen.cpp	594		
Error	C4273	'ABP_ExampleCharacter::StaticRegisterNativesABP_ExampleCharacter': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_ExampleCharacter.gen.cpp	605		
Error	C4273	'ABP_ExampleCharacter::GetPrivateStaticClass': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_ExampleCharacter.gen.cpp	625		
Error	C4273	'Z_Construct_UClass_ABP_ExampleCharacter_NoRegister': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_ExampleCharacter.gen.cpp	626		
Error	C4273	'Z_Construct_UClass_ABP_ExampleCharacter': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_ExampleCharacter.gen.cpp	784		
Error	C4273	'ABP_ExampleCharacter::ABP_ExampleCharacter': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_ExampleCharacter.gen.cpp	796		
Error	C4273	'ABP_ExampleCharacter::~ABP_ExampleCharacter': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_ExampleCharacter.gen.cpp	797		
Error	C4273	'Z_Construct_UDelegateFunction_InventorySystem_OnInventoryChanged__DelegateSignature': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	54		
Error	C4273	'FOnInventoryChanged_DelegateWrapper': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	63		
Error	C4273	'Z_Construct_UDelegateFunction_InventorySystem_OnEquipmentChanged__DelegateSignature': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	107		
Error	C4273	'FOnEquipmentChanged_DelegateWrapper': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	116		
Error	C4273	'UBP_InventoryComponent::execAddItemToContainer': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	179		
Error	C4273	'UBP_InventoryComponent::execAddItemToInventory': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	238		
Error	C4273	'UBP_InventoryComponent::execAreCellsAvailable': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	297		
Error	C4273	'UBP_InventoryComponent::execCanEquipItem': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	358		
Error	C4273	'UBP_InventoryComponent::execCanPlaceItemAt': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	429		
Error	C4273	'UBP_InventoryComponent::execCreateContainer': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	491		
Error	C4273	'UBP_InventoryComponent::execEquipItem': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	558		
Error	C4273	'UBP_InventoryComponent::execFindItemByID': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	609		
Error	C4273	'UBP_InventoryComponent::execGetAllItems': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	655		
Error	C4273	'UBP_InventoryComponent::execGetAllStatModifiers': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	703		
Error	C4273	'UBP_InventoryComponent::execGetContainer': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	752		
Error	C4273	'UBP_InventoryComponent::execGetContainerNames': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	798		
Error	C4273	'UBP_InventoryComponent::execGetEquipmentStatModifier': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	847		
Error	C4273	'UBP_InventoryComponent::execGetEquippedItem': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	897		
Error	C4273	'UBP_InventoryComponent::execGetGridIndex': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	951		
Error	C4273	'UBP_InventoryComponent::execGetInventoryGrid': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	1008		
Error	C4273	'UBP_InventoryComponent::execGetItemAt': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	1063		
Error	C4273	'UBP_InventoryComponent::execGetTotalWeight': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	1113		
Error	C4273	'UBP_InventoryComponent::execInitializeEquipmentSlots': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	1149		
Error	C4273	'UBP_InventoryComponent::execMarkCellsOccupied': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	1207		
Error	C4273	'UBP_InventoryComponent::execPlaceItemAt': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	1274		
Error	C4273	'UBP_InventoryComponent::execRemoveContainer': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	1322		
Error	C4273	'UBP_InventoryComponent::execRemoveItemAt': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	1373		
Error	C4273	'UBP_InventoryComponent::execRemoveItemFromContainer': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	1433		
Error	C4273	'UBP_InventoryComponent::execRemoveItemFromInventory': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	1486		
Error	C4273	'UBP_InventoryComponent::execUnequipItem': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	1541		
Error	C4273	'UBP_InventoryComponent::execUpdateContainersFromEquipment': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	1572		
Error	C4273	'UBP_InventoryComponent::StaticRegisterNativesUBP_InventoryComponent': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	1582		
Error	C4273	'UBP_InventoryComponent::GetPrivateStaticClass': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	1616		
Error	C4273	'Z_Construct_UClass_UBP_InventoryComponent_NoRegister': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	1617		
Error	C4273	'Z_Construct_UClass_UBP_InventoryComponent': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	1765		
Error	C4273	'UBP_InventoryComponent::UBP_InventoryComponent': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	1777		
Error	C4273	'UBP_InventoryComponent::~UBP_InventoryComponent': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryComponent.gen.cpp	1778		
Error	C4273	'UBP_InventoryComponent::UBP_InventoryComponent': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryComponent.cpp	4		
Error	C4273	'UBP_InventoryComponent::InitializeEquipmentSlots': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryComponent.cpp	15		
Error	C4273	'UBP_InventoryComponent::BeginPlay': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryComponent.cpp	43		
Error	C4273	'UBP_InventoryComponent::EquipItem': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryComponent.cpp	48		
Error	C4273	'UBP_InventoryComponent::UnequipItem': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryComponent.cpp	74		
Error	C4273	'UBP_InventoryComponent::GetEquippedItem': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryComponent.cpp	93		
Error	C4273	'UBP_InventoryComponent::CanEquipItem': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryComponent.cpp	99		
